id,repo_fullname,commits_count,commits_days_since_first,commits_days_since_last,commits_total_lines_added,commits_total_lines_removed,commits_avg_added,commits_avg_removed,commits_avg_files_changed,commits_avg_message_length,commits_avg_per_day,commits_avg_per_day_real,commits_max_per_day,contributors_count,contributors_top_avg_commits,contributors_top_avg_participation_week,contributors_top_avg_additions,contributors_top_avg_deletions,forks_count,forks_avg_per_day,forks_avg_max_per_day,issues_total_comments,issues_count,issues_open,issues_labels,issues_avg_labels,issues_avg_closing_time,issues_avg_comment_time,issues_avg_comments,issues_avg_comment_length,issues_avg_title_length,issues_avg_body_length,issues_avg_per_day,issues_avg_per_day_real,issues_max_per_day,repo_size,repo_topics,repo_branches,repo_age_days,repo_workflows,repo_languages,repo_milestones,repo_watchers,repo_deployments,repo_readme_length,repo_network_members,pulls_count,pulls_total_lines_added,pulls_total_lines_removed,pulls_avg_lines_added,pulls_avg_lines_removed,pulls_avg_closing_time,pulls_avg_comments,pulls_avg_review_comments,pulls_avg_Commits,pulls_avg_body_length,pulls_avg_title_length,pulls_avg_files_changed,pulls_avg_labels,pulls_avg_created_per_day,pulls_avg_created_per_day_real,pulls_max_created_per_day,releases_count,releases_tags,releases_total_downloads,releases_avg_body_length,releases_avg_title_length,releases_avg_assets,releases_avg_assets_downloads,releases_avg_assets_size,releases_avg_downloads_per_day,stars_count,stars_avg_per_day_real,stars_max_per_day,wf_count,wf_avg_duration,wf_avg_success_duration,wf_avg_failure_duration,wf_avg_successes_per_day,wf_avg_successes_per_day_real,wf_avg_fails_per_day,created_at,updated_at
26,microsoft/jschema-to-python,30,900,881,1139,321,38,11,3,89,,3,7,3,10,2,39,12,6,0,1,3,15,7,9,0,0,0,0,89,45,180,0,2,6,50,3,1,900,0,1,0,12,0,2367,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,1,1,0,0,0,0,0,0,0,2022-03-05 13:41:52.799768,2022-03-05 13:41:52.799768
27,FightPandemics/FightPandemics-android,653,669,350,164315,40885,252,63,12,71,,5,31,16,33,5,121,57,11,0,1,128,202,45,75,0,0,0,0,306,32,454,0,2,12,2797,0,9,669,5,3,8,12,0,7705,11,2,1026,66,513,33,0,1,62,4,350,46,15,0,0,1,1,0,0,0,0,0,0,0,0,,12,1,1,16,0.05843605324074074,0.04954282407407407,0.008893229166666667,0,6,0,2022-03-05 13:48:24.651087,2022-03-05 13:48:24.651087
28,qianqianjun/Educational-management,254,1083,849,941530,65321,3707,257,17,41,,7,28,11,16,4,1536,218,26,0,3,20,15,3,0,0,0,0,1,321,12,50,0,1,3,5305,0,8,1083,0,1,0,87,0,1654,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,87,1,10,0,0,0,0,0,0,0,2022-03-05 14:47:02.755157,2022-03-05 14:47:02.755157
29,LF2L/Functional-Material-Design,145,1234,823,4106,3953,28,27,1,21,,9,37,19,7,1,29,28,2,0,2,2,2,1,1,0,0,0,1,47,25,143,0,1,1,40479,0,1,1234,0,0,0,3,0,158,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,3,0,0,0,0,0,0,0,2022-03-05 14:48:27.244731,2022-03-05 14:48:27.244731
30,next-step/blog,3,517,110,332,4,111,1,2,25,,1,1,2,1,1,110,1,110,0,10,1381,483,1,202,0,0,0,2,143,34,178,0,4,15,527,0,101,517,0,0,0,79,0,3341,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,79,2,13,0,0,0,0,0,0,0,2022-03-05 15:10:25.419906,2022-03-05 15:10:25.419906
31,obedottoc/Ex08,3,906,896,44,0,15,0,2,20,,2,2,1,2,1,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3658,0,55,906,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1,0,0,0,0,0,0,0,2022-03-05 15:18:30.953205,2022-03-05 15:18:30.953205
32,QuantConnect/Lean,12953,2609,1,6079065,2944324,469,227,7,144,,7,42,100,80,16,261,165,2446,0,9,4982,6224,416,1715,0,0,0,0,459,46,1593,2,3,18,508878,15,21,2655,3,8,2,5944,0,9684,2492,6,1579,293,263,48,0,1,4,9,2751,51,8,0,0,1,1,8,8,0,1257,32,0,0,0,,5944,2,23,160,0.7172788628472222,0.5077452256944445,0.20953363715277779,0,19,0,2022-03-05 20:17:27.399288,2022-03-05 20:17:27.399288
33,Microsoft/vscode-languageserver-node,2289,2375,1,220379,130923,96,57,3,49,,4,28,74,23,5,109,71,253,0,2,3607,879,33,448,0,0,0,4,334,53,825,0,1,6,6450,0,71,2375,0,6,6,935,0,23058,263,4,1763,15,440,3,0,5,1,2,647,51,4,0,0,1,1,0,0,0,0,0,0,0,0,,935,1,8,0,0,0,0,0,0,0,2022-03-05 21:05:52.734624,2022-03-05 21:05:52.734624
34,Microsoft/vscode-languageserver-node,4156,2375,1,405424,243774,98,59,3,49,,6,50,74,23,5,109,71,253,0,2,3607,879,33,448,0,0,0,4,334,53,825,0,1,6,6450,0,71,2375,0,6,6,935,0,23058,263,4,1763,15,440,3,0,5,1,2,647,51,4,0,0,1,1,0,0,0,0,0,0,0,0,,935,1,8,0,0,0,0,0,0,0,2022-03-05 21:22:59.348559,2022-03-05 21:22:59.348559
35,MicrosoftDocs/DocsLegal-pr.nl-BE,,,,,,,,,,,,,9,2,2,52,12,3,0,1,18,14,0,0,0,0,0,1,2026,21,0,0,1,2,87,0,4,1270,0,1,0,2,0,104,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1,0,0,0,0,0,0,0,2022-03-05 22:19:11.536024,2022-03-05 22:19:11.536024
